listing_id,low,medium,high
7142618,0.566775,0.3730333333333334,0.06019166666666667
7210040,0.266,0.34183068181818177,0.3921693181818182
7174566,0.597,0.272,0.131
7191391,0.366125,0.2982916666666667,0.3355833333333333
7171695,0.9172916666666666,0.07320833333333335,0.0095
7225206,0.7135666666666668,0.2784333333333333,0.008
7200075,0.895,0.0585,0.0465
7145074,0.054049999999999994,0.4950255952380952,0.45092440476190465
7193645,0.4758611111111111,0.3361388888888889,0.188
7147703,0.993,0.0065,0.0005
7182218,0.6675,0.232,0.1005
7132136,0.8578333333333332,0.13766666666666666,0.0045
7130670,0.6311238095238095,0.24254047619047622,0.1263357142857143
7151855,0.6924833333333332,0.2596833333333334,0.04783333333333333
7158358,0.8786666666666666,0.10408333333333333,0.01725
7221001,0.8575833333333334,0.12491666666666668,0.0175
7100305,0.25483333333333336,0.3246625,0.4205041666666666
7096581,0.179725,0.7787083333333332,0.04156666666666666
7177904,0.3654555555555556,0.5537111111111113,0.08083333333333334
7122823,0.22882777777777794,0.5473388888888888,0.2238333333333333
7183502,0.797267857142857,0.171875,0.030857142857142857
7170627,0.3621916666666667,0.5259827380952381,0.11182559523809525
7154826,0.3230833333333334,0.4305,0.24641666666666664
7155276,0.9535,0.0455,0.001
7126641,0.7203916666666667,0.24344166666666672,0.036166666666666666
7096119,0.39198333333333335,0.3725944444444444,0.23542222222222225
7197172,0.845875,0.14129166666666668,0.012833333333333334
7189973,0.6478142857142857,0.2790845238095238,0.07310119047619049
7123008,0.8367166666666667,0.09765714285714286,0.06562619047619048
7146900,0.69,0.20444166666666666,0.10555833333333334
7109717,0.6152083333333334,0.36054166666666665,0.02425
7129938,0.7486666666666667,0.19205,0.05928333333333334
7107178,0.8399583333333334,0.14304166666666665,0.017
7176321,0.81875,0.14075,0.0405
7128745,0.7440833333333332,0.24591666666666667,0.01
7142399,0.19729761904761903,0.7660357142857145,0.03666666666666667
7173397,0.9353833333333331,0.05961666666666667,0.005
7097445,0.18545,0.1667722222222222,0.6477777777777778
7176649,0.8910333333333333,0.10196666666666666,0.007
7217973,0.44819583333333335,0.5083541666666667,0.04345
7181413,0.634075,0.26471212121212123,0.10121287878787877
7131045,0.8511142857142855,0.13288571428571427,0.016
7227600,0.33617142857142857,0.4301580086580087,0.23367056277056278
7152410,0.9338333333333334,0.04516666666666667,0.021
7164630,0.588425,0.35719999999999996,0.054375
7233385,0.8319738095238095,0.1442761904761905,0.02375
7132168,0.5843500000000001,0.32381666666666664,0.09183333333333334
7177475,0.7842916666666667,0.17070833333333335,0.045
7195866,0.9875,0.0105,0.002
7128348,0.9845,0.014,0.0015
7127663,0.4207416666666666,0.4581333333333334,0.121125
7224803,0.878,0.097,0.025
7175018,0.4679166666666667,0.4488333333333333,0.08325
7172595,0.557125,0.36765317460317465,0.07522182539682541
